City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,ushuaia,-54.8,-68.3,3.81,64,75,9.26,AR,1698692450
83,taghazout,30.5426,-9.7112,23.43,52,100,1.71,MA,1698692450
84,revda,56.801,59.9303,-7.82,99,90,1.1,RU,1698692450
85,hawaiian paradise park,19.5933,-154.9731,27.66,89,10,0.82,US,1698692451
86,egilsstadir,65.2653,-14.3948,-3.05,86,0,2.06,IS,1698692451
87,aioun,16.6614,-9.6149,33.77,17,71,0.96,MR,1698692451
88,melekeok village,7.4957,134.6367,27.67,78,22,2.96,PW,1698692451
89,la passe,45.5549,-0.8967,14.43,79,22,8.18,FR,1698692451
90,oneonta,42.4529,-75.0638,9.5,99,100,3.54,US,1698692451
91,tura,25.5198,90.2201,19.88,89,100,1.71,IN,1698692452
92,isafjordur,66.0755,-23.124,0.02,86,75,1.03,IS,1698692452
93,genhe,50.7833,121.5167,-5.03,34,100,1.03,CN,1698692452
94,apatity,67.5641,33.4031,-6.86,91,91,2.45,RU,1698692452
95,gaspra,44.4333,34.1,15.71,63,0,2.65,UA,1698692453
96,kapuskasing,49.4169,-82.4331,-0.95,64,40,3.6,CA,1698692453
97,hermanus,-34.4187,19.2345,14.68,73,0,7.33,ZA,1698692453
98,thompson,55.7435,-97.8558,-6.91,73,75,6.69,CA,1698692453
99,udachny,66.4167,112.4,-19.97,100,99,1.43,RU,1698692453
100,mount isa,-20.7333,139.5,21.87,68,18,1.54,AU,1698692454
101,leeton,-34.5667,146.4,10.05,62,2,4.61,AU,1698692454
102,namibe,-15.1961,12.1522,19.23,79,0,2.85,AO,1698692454
103,badger,64.8,-147.5333,-2.07,86,75,0.0,US,1698692454
104,zelenoborskiy,66.845,32.3622,-9.08,92,63,1.67,RU,1698692454
105,santa maria da boa vista,-8.8078,-39.8256,35.9,16,94,3.04,BR,1698692455
106,zag,46.9441,99.165,-1.87,78,100,0.6,MN,1698692455
107,petropavlovsk-kamchatsky,53.0452,158.6483,-0.3,82,75,5.0,RU,1698692456
108,obo,5.3998,26.4869,22.88,88,81,1.57,CF,1698692456
109,nova vicosa,-17.8919,-39.3719,28.02,53,99,4.5,BR,1698692456
110,saipan,15.1355,145.701,28.66,78,11,6.26,MP,1698692456
111,bafq,31.6128,55.4107,22.53,23,100,1.98,IR,1698692457
112,san luis de la loma,17.2706,-100.8939,32.02,65,13,2.61,MX,1698692457
113,brak,27.5496,14.2714,25.2,22,5,3.56,LY,1698692457
114,blackmans bay,-43.0167,147.3167,7.51,72,4,1.34,AU,1698692457
115,keflavik,64.0049,-22.5624,4.24,70,75,5.14,IS,1698692457
116,hithadhoo,-0.6,73.0833,26.81,82,14,5.33,MV,1698692457
117,talnakh,69.4865,88.3972,-16.55,94,100,2.81,RU,1698692458
118,ulladulla,-35.35,150.4667,15.43,52,5,3.83,AU,1698692458
119,saudarkrokur,65.7461,-19.6394,-0.75,81,20,3.11,IS,1698692458
120,mostaganem,35.9311,0.0892,20.21,76,96,5.88,DZ,1698692159
121,villa gesell,-37.2639,-56.973,16.14,47,100,7.6,AR,1698692458
122,tucuma,-0.1833,-50.05,32.24,51,29,5.27,BR,1698692168
123,butterworth,5.3991,100.3638,28.02,89,20,2.68,MY,1698692459
124,mombetsu,44.3525,143.3525,6.91,80,16,3.02,JP,1698692459
125,bel ombre,-4.6167,55.4167,25.91,78,20,1.03,SC,1698692459
126,syumsi,57.1111,51.6149,-2.48,96,100,2.13,RU,1698692459
127,qaqortoq,60.7167,-46.0333,6.33,54,100,12.62,GL,1698692459
128,taltal,-25.4,-70.4833,16.75,77,29,2.57,CL,1698692421
129,minas de marcona,-15.2119,-75.1103,21.79,51,10,8.13,PE,1698692460
130,borkum,53.5809,6.6915,12.75,85,100,2.87,DE,1698692460
131,chongwe,-15.3292,28.682,21.76,69,100,4.1,ZM,1698692461
132,sitka,57.0531,-135.33,8.94,76,100,4.12,US,1698692462
133,sishui,35.6489,117.2758,16.72,54,0,2.11,CN,1698692462
134,lompoc,34.6391,-120.4579,26.5,18,20,2.06,US,1698692219
135,hamilton,39.1834,-84.5333,8.73,84,100,4.92,US,1698692445
136,birniwa,12.7903,10.2348,31.18,16,86,4.59,NG,1698692464
137,yuzhno-kurilsk,44.0306,145.8556,7.99,76,55,3.66,RU,1698692464
